clean_products,clean_current_price,clean_old_price,clean_discount_percentage,clean_reviews_count,clean_rating_out_of 5
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,KSh990.00 ,"KSh1,500.00 ",9%,39,4.7
115 Piece Set Of Multifunctional Precision Screwdrivers,KSh950.00 ,"KSh1,525.00 ",8%,2,4.5
12 Litre Black Insulated Lunch Box,"KSh1,350.00 ","KSh1,990.00 ",64%,13,3.8
12 Litre Insulated Lunch Box Grey,KSh980.00 ,"KSh1,490.00 ",61%,12,4.7
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,KSh445.00 ,KSh873.00 ,55%,69,2.8
12V 19500Rpm Handheld Electric Angle Grinder Tool - Uk - Yellow/Black,"KSh2,799.00 ","KSh3,810.00 ",55%,,
13 In 1 Home Repair Tools Box Kit Set,"KSh1,600.00 ","KSh2,929.00 ",55%,5,3.8
137 Pieces Cake Decorating Tool Set Baking Supplies,"KSh2,319.00 ","KSh3,032.00 ",54%,55,4.6
1Pc Refrigerator Food Seal Pocket Fridge Bags,KSh198.00 ,KSh260.00 ,54%,,
2 Pairs Cowhide Split Leather Work Gloves.32Â„‰ Or Above Welding Gloves,"KSh1,666.00 ","KSh1,699.00 ",53%,,
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter","KSh2,999.00 ","KSh3,290.00 ",53%,15,4.0
24 Grid Wall-Mounted Sundries Organiser Fabric Closet Bag Storage Rack,"KSh1,875.00 ","KSh1,899.00 ",52%,,
2Pcs Ice Silk Square Cushion Cover Pillowcases - 65X65Cm,"KSh1,200.00 ","KSh2,400.00 ",52%,,
2Pcs Solar Street Light Flood Light Outdoor,"KSh1,200.00 ","KSh1,950.00 ",51%,,
2Pcs/Lot Solar Led Outdoor Intelligent Light Controlled Wall Lamp,KSh790.00 ,"KSh1,485.00 ",50%,,
32Pcs Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,"KSh3,750.00 ","KSh6,143.00 ",50%,5,3.0
380Ml Usb Rechargeable Portable Small Blenders And Juicers,"KSh1,000.00 ","KSh2,000.00 ",50%,7,2.3
3D Waterproof Eva Plastic Shower Curtain 1.8*2Mtrs,KSh998.00 ,"KSh1,966.00 ",50%,44,4.6
3Pcs Rotary Scraper Thermomix For Kitchen,KSh690.00 ,"KSh1,200.00 ",50%,,
3Pcs Single Head Knitting Crochet Sweater Needle Set,KSh38.00 ,KSh80.00 ,50%,13,3.3
4 Piece Coloured Stainless Steel Kitchenware Set,KSh248.00 ,KSh486.00 ,50%,,
40Cm Gold Diy Acrylic Wall Sticker Clock,KSh552.00 ,"KSh1,035.00 ",49%,12,4.8
4M Float Switch Water Level Controller -Water Tank,KSh475.00 ,KSh931.00 ,49%,,
"4Pcs Bathroom/Kitchen Towel Rack,Roll Paper Holder,Towel Bars,Hook","KSh1,860.00 ","KSh3,220.00 ",49%,,
